奥运,#genre#

爱尔达奥运1台,mitv://ns2.hellotvvod.com:9906/b7640ba9d0994f10a745ce9c4a2bda49.ts
爱尔达奥运2台,mitv://ns2.hellotvvod.com:9906/ff40c90eb42d4feead5537ab3dad89ff.ts
爱尔达奥运3台,mitv://ns2.hellotvvod.com:9906/e475aa23269e4c72830b9163b2db9d8e.ts

台湾,#genre#

民视,mitv://ns2.hellotvvod.com:9906/510e655af20b4bc58d2bfd99c251d735.ts
人间卫视,mitv://ns2.hellotvvod.com:9906/97d81c29a56c454b92f28844d62daa44.ts
台视,mitv://ns2.hellotvvod.com:9906/b7aca572febb4327b7761b8c1bdbceab.ts
大爱,mitv://ns2.hellotvvod.com:9906/5abfd558f8934b5083c7d46acd322fa3.ts
中视,mitv://ns2.hellotvvod.com:9906/af44a8bde93549e69866dfcfaeef65b6.ts
霹雳台湾台,mitv://ns2.hellotvvod.com:9906/710044747eb740fcb8b5809687eba572.ts
华视,mitv://ns2.hellotvvod.com:9906/2d07c1cdfd0248ef8af23893b24d31a8.ts
公视,mitv://ns2.hellotvvod.com:9906/f3a554cc990a4ab89e6d1bea40121c64.ts
公视台语台,mitv://ns2.hellotvvod.com:9906/86a6969827d34d7584778556279c52dd.ts
好消息,mitv://ns2.hellotvvod.com:9906/0923d29e03e249be91726e77a75f5870.ts
原住民电视台,mitv://ns2.hellotvvod.com:9906/e3f4ffa2579d406b9c77bc5281b0cb14.ts
客家电视台,mitv://ns2.hellotvvod.com:9906/b821be9bd96a4fb195dc26d1a6379daf.ts
国家地理频道,mitv://ns2.hellotvvod.com:9906/200d5ada679948ceb1ad3d7b9be220a2.ts
探索频道,mitv://ns2.hellotvvod.com:9906/51a39332e30d450ab67670098683f8ab.ts
TLC旅游生活,mitv://ns2.hellotvvod.com:9906/c8dfd82a767d4962a5563c2e0910a9d2.ts
动物星球,mitv://ns2.hellotvvod.com:9906/adccc0958370445c9b0502f5919331b2.ts
CN卡通频道,mitv://ns2.hellotvvod.com:9906/9211fd052f9540e28cc51afc93b3f3e7.ts
迪士尼频道,mitv://ns2.hellotvvod.com:9906/19bcc263b4e048fca4a2df486579386d.ts
MOMO亲子台,mitv://ns2.hellotvvod.com:9906/8b5dcbf92033404486d4a5e82f8c072c.ts
东森幼幼台,mitv://ns2.hellotvvod.com:9906/2ede7a56ee6947fd90cb731051c51902.ts
纬来综合台,mitv://ns2.hellotvvod.com:9906/774f734dc9b44bf69b7e55b3cf05755e.ts
八大第一台,mitv://ns2.hellotvvod.com:9906/c7aee9e3376c4c40bab8174ba40bde4c.ts
八大综合台,mitv://ns2.hellotvvod.com:9906/8b557773274a426fb6dde02c53709714.ts
三立台湾台,mitv://ns2.hellotvvod.com:9906/6a43c8b1f635409cacdd2af14e037a3f.ts
三立都会台,mitv://ns2.hellotvvod.com:9906/041e7f1ace5949149726b0b26e816399.ts
卫视中文台,mitv://ns2.hellotvvod.com:9906/fe85ac34494d4b0f92fb1fcff917811c.ts
东森综合台,mitv://ns2.hellotvvod.com:9906/9fbc5a3b1eba4305ad44d316e8b2c98b.ts
超视,mitv://ns2.hellotvvod.com:9906/44ebce92dc7c4a609843c308a9c31257.ts
中天综合台,mitv://ns2.hellotvvod.com:9906/e2a4216876e7457988411aff7f9aa249.ts
中天娱乐台,mitv://ns2.hellotvvod.com:9906/35725d8668e94b9b8a5bf8a9fe09e8f2.ts
东森戏剧台,mitv://ns2.hellotvvod.com:9906/e3de03d156db4726ab5a76c20d1b5cd4.ts
八大戏剧台,mitv://ns2.hellotvvod.com:9906/9b427b6314b544c684eab26ff73f6060.ts
TVBS欢乐台,mitv://ns2.hellotvvod.com:9906/0765185efc7f410d9269b1c156f5233c.ts
纬来戏剧台,mitv://ns2.hellotvvod.com:9906/04af36881b5147baaf1120e97dff3cf0.ts
高点综合台,mitv://ns2.hellotvvod.com:9906/a2da5b707a284ca2bfc6dc26c47950a5.ts
BBC World News,mitv://ns2.hellotvvod.com:9906/2d020eb4411a4abd86721256149f5619.ts
Al Jazeera English,mitv://ns2.hellotvvod.com:9906/c5abf50991bd4234a3d373d1c171425f.ts
CNBC,mitv://ns2.hellotvvod.com:9906/aed581b85e764328b3dffdf65acfea76.ts
Bloomberg TV,mitv://ns2.hellotvvod.com:9906/12624a18ad8b470d8e7ecc768e909c8b.ts
HITS,mitv://ns2.hellotvvod.com:9906/8a30e807021b4a689e3e12b9b6e01e9d.ts
壹电视新闻台,mitv://ns2.hellotvvod.com:9906/dddca33019bc42c293da891245e28d27.ts
年代新闻,mitv://ns2.hellotvvod.com:9906/30bdc41040b94224b91b5a09c76ea916.ts
东森新闻台,mitv://ns2.hellotvvod.com:9906/25cd65d5fec74daa969551d54e4fcd17.ts
中天新闻台,mitv://ns2.hellotvvod.com:9906/36a8b0af94484ba2866990661b1094f1.ts
民视新闻台,mitv://ns2.hellotvvod.com:9906/dde7dda035f7474988fab3808acee2ad.ts
三立新闻台,mitv://ns2.hellotvvod.com:9906/54d6bad638164e5bb2b2437e77ac1819.ts
TVBS新闻台,mitv://ns2.hellotvvod.com:9906/389b28ca931c46dca355693a9174c7ca.ts
